CHV;Código Fazenda;CD_UPNIVEL3;DT_ANALISE;NIVEL INFESTAÇÃO;;Nivel de Infestação;
203140550;20314;550;09/03/2020;B;;;
203140551;20314;551;09/03/2020;B;;;
203140552;20314;552;09/03/2020;M;;;
203140553;20314;553;09/03/2020;B;;;
203140554;20314;554;09/03/2020;B;;;
203140555;20314;555;09/03/2020;B;;;
203140556;20314;556;09/03/2020;M;;;
203140557;20314;557;09/03/2020;B;;;
203140558;20314;558;09/03/2020;B;;;
203140559;20314;559;09/03/2020;M;;;
203140560;20314;560;16/03/2020;B;;;
203140561;20314;561;16/03/2020;B;;;
203140562;20314;562;09/03/2020;M;;;
203140563;20314;563;09/03/2020;M;;;
203140564;20314;564;09/03/2020;B;;;
203140565;20314;565;09/03/2020;B;;;
203140566;20314;566;09/03/2020;B;;;
203140567;20314;567;16/03/2020;B;;;
203140568;20314;568;16/03/2020;B;;;
203140569;20314;569;09/03/2020;M;;;
203140570;20314;570;09/03/2020;M;;;
203140571;20314;571;09/03/2020;B;;;
203140572;20314;572;09/03/2020;M;;;
203140573;20314;573;16/03/2020;M;;;
203150001;20315;1;21/12/2023;B;;;
203150002;20315;2;30/05/2020;B;;;
203150003;20315;3;02/03/2022;A;;;
203150005;20315;5;27/01/2021;A;;;
203150006;20315;6;27/01/2021;B;;;
203150015;20315;15;27/01/2021;M;;;
203150016;20315;16;27/01/2021;B;;;
203180001;20318;1;11/01/2022;A;;;
203180003;20318;3;03/04/2021;B;;;
203180004;20318;4;03/04/2021;B;;;
203180005;20318;5;03/04/2021;B;;;
203180006;20318;6;19/05/2020;A;;;
203180008;20318;8;19/05/2020;A;;;
203180010;20318;10;03/04/2021;B;;;
203180011;20318;11;03/04/2021;B;;;
203180012;20318;12;19/05/2020;A;;;
203180013;20318;13;19/05/2020;A;;;
203180014;20318;14;19/05/2020;A;;;
203180016;20318;16;03/04/2021;M;;;
203200020;20320;20;21/04/2023;B;;;
203200025;20320;25;22/02/2017;B;;;
203200029;20320;29;22/02/2017;B;;;
203200039;20320;39;22/02/2017;B;;;
203200040;20320;40;21/04/2023;B;;;
203210002;20321;2;21/01/2021;B;;;
203210003;20321;3;10/06/2020;A;;;
203210004;20321;4;10/06/2020;A;;;
203210005;20321;5;10/06/2020;A;;;
203210006;20321;6;21/01/2021;B;;;
203210008;20321;8;28/04/2019;B;;;
203210009;20321;9;28/04/2019;B;;;
203210010;20321;10;28/04/2019;B;;;
203210011;20321;11;28/04/2019;B;;;
203210043;20321;43;23/07/2020;B;;;
203220001;20322;1;24/02/2020;B;;;
203220002;20322;2;24/02/2020;M;;;
203220003;20322;3;24/02/2020;A;;;
203220004;20322;4;24/02/2020;M;;;
203220005;20322;5;24/02/2020;M;;;
203220006;20322;6;24/02/2020;A;;;
203220007;20322;7;24/02/2020;A;;;
203230001;20323;1;01/03/2021;B;;;
203230002;20323;2;01/03/2021;B;;;
203230003;20323;3;01/03/2021;B;;;
203230004;20323;4;01/03/2021;B;;;
203230005;20323;5;01/03/2021;B;;;
203230006;20323;6;01/03/2021;B;;;
203230007;20323;7;01/03/2021;B;;;
203230008;20323;8;06/05/2020;A;;;
203230009;20323;9;15/05/2020;A;;;
203230010;20323;10;15/05/2020;A;;;
203230011;20323;11;15/05/2020;A;;;
203230012;20323;12;15/05/2020;A;;;
203230013;20323;13;15/05/2020;A;;;
