Benchmarking CTC - Impureza Mineral (kg/tc) - Safra 2025 (própria)  ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
141;BP - Monte Verde;;0,52;0,48;0,84;0,78;0,54;0,75;1;;;;;
142;BP - Moema;0,77;0,91;0,82;0,84;0,62;0,51;0,53;0,74;;;;;
143;BP - Itumbiara;1,73;1,32;0,9;0,83;0,78;0,69;0,85;0,84;;;;;
144;BP - Ituiutaba;1,32;1,24;1,23;0,83;0,72;0,64;0,75;0,89;;;;;
145;BP - Itapagipe;1,19;1,02;0,61;0,52;0,47;0,45;0,57;0,59;;;;;
146;BP - Guariroba;;;;;0,48;0,56;0,68;1,84;;;;;
147;BP - Frutal;1,04;0,99;0,88;0,87;0,66;0,57;0,63;0,84;;;;;
148;Atvos - Água Emendada;;0,42;0,71;0,73;0,7;0,67;0,75;0,73;0,71;;;;
149;Atvos - Santa Luzia I;;1,21;0,99;0,88;0,67;0,63;0,67;0,72;0,84;1,14;;;
150;Atvos - Rio Claro;;0,99;0,77;0,77;0,58;0,56;0,62;0,84;1,16;;;;
151;Atvos - Polo SP;;0,83;0,76;0,98;0,66;0,68;0,58;0,81;0,94;1,12;;;
152;Atvos - Morro Vermelho;;1,09;0,89;0,73;0,62;0,57;0,5;0,59;0,79;0,43;;;
153;Atvos - Eldorado;;0,71;0,86;0,87;0,89;0,71;0,53;0,7;0,77;0,75;;;
154;Atvos - Costa Rica;;1,12;0,72;0,73;0,55;0,53;0,45;0,78;0,75;0,89;;;
155;Atvos - Alto Taquari;;0,81;0,77;0,73;0,72;0,68;0,71;0,78;;;;;
156;Participante 156;;1,41;1,18;1,42;1,41;1,42;0,7;0,87;1,26;;;;
157;Participante 157;;1;0,88;1,11;0,89;0,76;0,58;0,91;1,18;;;;
158;Participante 158;;0,89;0,82;1,17;0,62;0,71;0,49;0,82;1,37;;;;
159;Aroeira;0,57;0,82;0,51;0,46;0,33;0,29;0,39;0,42;;;;;
160;Araporã Bioenergia;0,51;0,65;0,43;0,45;0,3;0,24;0,33;0,5;;;;;
161;Aralco - Nova Aralco;;0,67;0,81;1,07;0,58;0,65;0,44;0,67;;;;;
162;Alta Mogiana;;0,86;0,82;0,84;0,87;0,86;0,91;1,08;;;;;
163;Alcoeste;;0,89;0,69;0,75;0,58;0,49;0,52;0,81;1,33;;;;
164;Agroterenas - Rio Brilhante;;0,81;0,78;1,24;0,88;0,85;0,7;1,11;1;1,34;;;
165;Agroterenas - Parag. Pta;;1,7;1,53;2,16;1,46;1,24;1,11;1,55;2,16;1,64;;;
166;Agroterenas - Maracaí;;1,15;0,72;1,78;1,41;1,16;0,96;1,25;1,63;1,27;;;
167;Agroterenas - Anaurilândia;;0,58;0,53;0,8;0,44;0,59;0,43;0,92;0,92;0,72;;;
168;Agropéu;;;0,6;0,59;0,52;0,5;0,54;0,58;0,71;;;;
169;Participante 169;0,74;0,73;0,67;0,89;0,86;0,86;0,92;1,14;1,13;0,79;;;
170;Adecoagro - Monte Alegre;0,63;0,64;0,57;;0,58;0,48;0,4;0,5;;;;;
171;Adecoagro - Ivinhema;;;0,66;0,88;0,57;0,68;0,51;0,76;0,92;0,73;0,58;;
172;Adecoagro - Angélica;1,08;;0,83;0,7;0,6;0,65;0,47;0,68;0,92;0,84;0,58;;
