Equipamento;Frente;Fazenda;Data de Alocação;Data Chegada;Entrada Cana;Distância;Tipo de Carga;Tempo Ida;Tempo Carregamento;Tempo Volta;Tempo Industria;Tempo Total;Start Automático;Gravação Automática;Tipo de Alocação;Unidade Destino;Mensagem Alocação;Carretas Entrada;Data Pesagem Entrada;Moído Entrada;Carretas Saída;Data Saída Carreta;Última Basculada Saída;Data Carregamento;Fazenda Carregamento;Tonelada Carregada;Código Transbordo
308370;3;20449;16/04/2026 01:26:18;16/04/2026 04:41:13;1162739;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:23:00;00:17:00;01:33:00;01:32:24;04:45:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308374;10;20705;16/04/2026 01:40:25;16/04/2026 03:19:59;1162730;10.87;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:38:00;00:38:00;00:23:00;01:07:12;02:46:12;S;N;VIAGEM ;50;S;;;;;;;;;;
308383;1;20320;16/04/2026 01:49:50;16/04/2026 03:14:41;1162728;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:32:00;00:13:00;00:39:00;00:23:24;01:47:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308398;2;20596;16/04/2026 01:51:55;16/04/2026 04:37:33;1162738;32.19;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;02:21:00;02:21:00;N;N;VIAGEM ;50;S;;;;;;;;;;
308396;4;20432;16/04/2026 02:01:37;16/04/2026 03:03:44;1162727;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:29:00;00:06:00;00:23:00;00:17:24;01:15:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308362;3;20449;16/04/2026 02:06:18;16/04/2026 11:47:33;1162788;43.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);-;-;-;07:01:12;07:01:12;S;N;VIAGEM ;50;N;;;;;;;;;;
308369;1;20320;16/04/2026 02:09:29;16/04/2026 03:55:18;1162733;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:41:00;00:25:00;00:36:00;01:12:36;02:54:36;S;N;VIAGEM ;50;S;;;;;;;;;;
308371;2;20596;16/04/2026 02:19:47;16/04/2026 05:34:41;1162744;32.19;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);01:20:00;00:25:00;01:28:00;05:09:00;08:22:00;N;N;VIAGEM ;50;N;;;;;;;;;;
308367;4;20432;16/04/2026 02:27:27;16/04/2026 03:31:03;1162732;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:29:00;00:10:00;00:23:00;00:23:24;01:25:24;N;N;VIAGEM ;50;S;;;;;;;;;;
308404;1;20320;16/04/2026 02:40:00;16/04/2026 04:29:25;1162737;14.08;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:31:00;00:44:00;00:33:00;01:05:24;02:53:24;S;N;VIAGEM ;50;S;;;;;;;;;;
308378;4;20432;16/04/2026 02:41:43;16/04/2026 04:05:42;1162736;14.66;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:18:00;00:37:00;00:29:00;01:04:48;02:28:48;S;N;VIAGEM ;50;S;;;;;;;;;;
308368;2;20596;16/04/2026 02:47:53;16/04/2026 06:11:09;1162748;32.19;11-CAVALO MECÂNICO (TERCEIRO 2 CARRETAS);00:57:00;01:10:00;01:11:00;00:16:48;03:34:48;N;N;VIAGEM ;50;S;;;;;;;;;;
308400;200;;16/04/2026 03:04:47;;;;;-;-;-;-;-;S;;PÁTIO ;;N;;;;;;;;;;
