Benchmarking CTC - Safra 2025 - TAH (ton de ATR/ha);;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
113;Cofco - Meridiano;;8,64;9,96;10,96;10,77;13,15;11,58;9,74;6,68;;;;
114;Cofco - Catanduva;;8,84;11,71;11,57;13,32;11,97;10,99;9,07;7,84;;;;
115;Cocal PPT;6,27;7,92;8,52;7,83;9,41;10,68;11,92;11,89;10,79;;;;
116;Cocal NRD;7,14;8,58;9,46;9,7;10,81;12,21;11,23;9,53;7,86;;;;
117;Clealco - Queiroz;;8,51;9,85;11,89;13,77;14,14;11,64;9,91;8,03;;;;
118;Clealco - Clementina;;8,63;7,77;10,82;12,85;17,05;14,28;9,46;9,68;;;;
119;Cevasa;;8,94;7,22;7,41;9,38;10,78;7,87;7,4;5,79;;;;
120;Cerradinho Bioenergia;;8,4;9,67;11,38;12,1;12,57;12;11,32;10,57;11,78;;;
121;Participante 121;;8,71;11,16;13,91;15,94;16,73;13,86;12,22;8,91;6,4;;;
122;Cargill Bioenergia - USF;;7,05;8,11;8,73;10,7;11,55;10,49;9,8;7,65;7,67;;;
123;Cargill Bioenergia - URD;;6,41;8,3;9,77;10,83;11,12;10,7;9,06;7,6;;;;
124;Cananova - Mirassol D Oeste;;;9,03;14,97;12,96;14;12,27;;10,7;;;;
125;Cananova - Lambari D Oeste;;8,79;11,44;12;13,46;12,9;12,56;6,91;12,22;;;;
126;CMAA - Vale do Tijuco;;7,12;10,49;10,15;10,1;9,27;8,45;8,62;5,86;;;;
127;CMAA - Canápolis;;7,01;10,25;9,28;10,91;9,58;9,64;8,63;7,61;;;;
128;Bunge - Rio Vermelho;;;7,74;7,94;8,23;9,71;9,68;9,12;7,02;;;;
129;Bunge - Nova Unialco;;7,41;6,85;11,28;12,85;13,91;11,88;10,86;9,37;;;;
130;Branco Peres;;9,15;8,7;9,57;11,58;10,79;12,27;12,47;9,85;;;;
131;Bevap;;10,96;12,5;13,35;13,96;14,34;13,83;14,44;18,25;;;;
132;Batatais;;7,51;7,66;8,02;7,55;8,22;8,58;8,72;9,21;;;;
133;Bandeirantes;;11,05;11,14;9,38;10,75;12,59;13,05;11,62;;;;;
134;Bambuí Bioenergia;;6,32;7,8;8,58;8,5;9,51;9,53;9,29;;;;;
135;Balbo - Uberaba;;12,27;12,2;13,1;15,01;12,44;14,43;9,42;10,63;;;;
136;Balbo - Santo Antonio;;7,53;9,33;9,91;8,74;10,3;10,91;9,84;12,27;;;;
137;BP - Tropical;6,54;6,52;7,63;9,26;9,18;9,22;9,21;7,53;8;;;;
138;BP - Santa Juliana;;5,58;6,26;6,77;7,45;7,26;6,34;;;;;;
139;BP - Pedro Afonso;;7,62;7,54;8,65;8,63;8,65;9,28;6,63;;;;;
140;BP - Ouroeste;4,86;6,24;8,61;8,34;8,59;8,84;8,11;9,28;;;;;
141;BP - Monte Verde;;5,14;7,1;6,87;9,02;8,6;8,31;7,24;;;;;
142;BP - Moema;;5,52;7,98;9,03;8,69;8,14;7,5;5,58;;;;;
143;BP - Itumbiara;5,04;6,44;6,62;7,62;8,18;8,33;6,67;7,14;;;;;
144;BP - Ituiutaba;3,29;5,6;7,24;6,81;7,87;6,93;6,35;6,18;;;;;
145;BP - Itapagipe;4,48;5,32;7,47;7,37;8,96;7,66;7,22;6,29;;;;;
146;BP - Guariroba;2,39;5,79;6,82;7,59;7,91;8,85;7;6,21;;;;;
147;BP - Frutal;5,53;5,96;7,71;9,31;10,48;9,23;8,94;8,01;;;;;
148;Atvos - Água Emendada;;;12,62;11,94;12,77;11,66;11,93;7,61;7,3;;;;
149;Atvos - Santa Luzia I;;5,74;11;11,85;11,87;13,14;10,56;9,67;8,43;9,02;;;
150;Atvos - Rio Claro;;10,05;8,6;9,62;11,52;12,91;9,62;7,76;5,39;;;;
151;Atvos - Polo SP;;12,34;9,45;10,63;10,97;9,02;8,64;8,71;6,83;6,25;;;
152;Atvos - Morro Vermelho;;5,19;8,3;10,09;10,74;10,34;12,5;9,78;6,26;4,26;;;
153;Atvos - Eldorado;;5,93;11,7;12,41;11,33;11,95;10,79;9,35;7,82;10,33;;;
154;Atvos - Costa Rica;;8,5;9,69;10,93;11,26;12,3;12,88;10,85;8,13;8,14;;;
155;Atvos - Alto Taquari;;4,22;9,54;9,95;11,3;10,76;12,14;10,64;;;;;
156;Participante 156;;6,68;10,93;11,02;10,11;12,46;13,71;11,89;8,65;;;;
157;Participante 157;;9,72;12,54;12,64;11,02;10;10,13;8,52;7,11;;;;
158;Participante 158;;10,29;10,58;10,79;10,2;11,08;10,84;8,96;7,55;;;;
159;Aroeira;7,95;10,22;11,44;12,23;11,43;9,96;11,56;8,73;;;;;
160;Araporã Bioenergia;8,45;8,95;8,92;8,78;10,24;9,12;9,5;7,63;;;;;
161;Aralco - Nova Aralco;;;8,07;9,21;10,64;;10,79;9,87;;;;;
162;Alta Mogiana;;7,89;8,49;9,34;11,14;12,54;12,31;10,4;;;;;
163;Alcoeste;;8,68;8,26;9,89;11,27;12,67;11,18;7,95;7,99;;;;
164;Agroterenas - Rio Brilhante;;;9,43;9,97;10,62;11,64;10,17;7,94;9,25;7,46;;;
165;Agroterenas - Parag. Pta;;11,61;15,01;11,96;15,8;14,71;13,56;12,18;11,45;10,37;;;
166;Agroterenas - Maracaí;;15,97;12,11;12,66;13,36;14,11;12,25;10,87;10,99;12,29;;;
167;Agroterenas - Anaurilândia;;15,13;14,14;15,69;15,21;14,32;15,76;14,9;13,19;10,48;;;
168;Agropéu;;;8,91;9,14;10,56;11,23;10,32;9,41;6,68;;;;
169;Participante 169;7,13;8,19;9,39;8,28;10,57;9,8;11,56;12,67;10,55;10,57;;;
170;Adecoagro - Monte Alegre;10,25;9,24;9,97;9,79;10,28;9,14;8,92;7,98;;;;;
171;Adecoagro - Ivinhema;5,47;;9,49;8,74;9,79;7,01;8,42;10,31;9,76;12,99;12,83;;
172;Adecoagro - Angélica;6,64;;9,08;8,89;7,83;8,34;9,73;11,32;11,33;11,98;9,4;;
