Benchmarking CTC - Safra 2025 - Estãgio Médio de Corte mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
166;Araporã Bioenergia;3,2;1,9;2,9;3,4;4,2;3,8;4,7;6,3;;;;;
167;Aralco - Nova Aralco;;4;2,9;2,7;2,1;2,1;2,8;3,1;;;;;
168;Alta Mogiana;;5,8;4,3;4,3;4,6;4,5;4,9;4,9;;;;;
169;Alcoeste;;2,8;2,7;2,3;2,3;2,3;2,9;3,5;4;;;;
170;Agroterenas - Rio Brilhante;;;3,8;4,3;4,1;4,3;4,6;5;4,9;4,9;;;
171;Agroterenas - Parag. Pta;;3;1,4;3,3;2,1;2,7;3,3;3,7;3,7;3,8;;;
172;Agroterenas - Maracaí;;1;1,5;2,8;2,6;2,9;4,1;4,1;4,3;3,8;;;
173;Agroterenas - Anaurilândia;;2;2,1;1,1;1,5;1,4;1,1;1;1,9;1,3;;;
174;Agropéu;;;1,9;2,2;2,5;2,5;2,7;2,3;2,9;;;;
175;Participante 175;2,4;2,9;2,8;3,5;3,5;4,2;3,2;2,5;3,3;2,7;;;
176;Adecoagro - Monte Alegre;1,3;1,5;2,4;3,1;2,4;4,5;3,5;2,9;;;;;
177;Adecoagro - Ivinhema;4,5;;3,2;4,4;2,9;3,8;3,5;3,7;3,3;1,6;2;;
178;Adecoagro - Angélica;5,2;;3,5;3,4;3,6;3,9;3,1;2,8;2,9;1,9;2,4;;
