Benchmarking CTC - Safra 2025 - Total de área (ha) colhida mês a mês ;;;;;;;;;;;;;;
;Participante;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Jan;Fev;Média
136;Branco Peres;;959;2767;2088;2339;2354;2191;1709;2541;;;;
137;Bevap;;1571;4233;2248;2651;2948;3199;3893;784;;;;
138;Batatais;;4199;4933;3558;4220;3696;4891;4952;748;;;;
139;Bandeirantes;;1278;2871;1553;3385;2428;3131;1367;;;;;
140;Bambuí Bioenergia;;365;2786;2434;2383;2595;2340;1051;;;;;
141;Balbo - Uberaba;;1152;2258;2836;1850;1197;2258;703;3922;;;;
142;Balbo - Santo Antonio;;103;2246;1195;1770;1344;1799;1873;3061;;;;
143;BP - Tropical;124;3966;4925;3718;4646;5275;5095;6962;1089;;;;
144;BP - Santa Juliana;;2373;6945;6348;6884;8803;5377;;;;;;
145;BP - Pedro Afonso;;3595;4571;4001;4591;4589;4609;4294;;;;;
146;BP - Ouroeste;1197;2865;3686;3158;5321;3930;4699;1130;;;;;
147;BP - Monte Verde;;646;1449;1313;2119;2354;2346;867;;;;;
148;BP - Moema;;3264;6319;6511;8361;9705;8956;8360;;;;;
149;BP - Itumbiara;107;1961;2550;2944;2403;2560;2388;592;;;;;
150;BP - Ituiutaba;287;2723;3914;4241;3531;5445;5008;4050;;;;;
151;BP - Itapagipe;979;1811;3905;3477;3949;4371;3819;3380;;;;;
152;BP - Guariroba;205;1948;3813;3401;4065;4111;4198;5288;;;;;
153;BP - Frutal;945;2071;4146;3279;3597;4914;4371;4266;24;;;;
154;Atvos - Água Emendada;;;1905;1945;2390;2259;2075;1891;2131;;;;
155;Atvos - Santa Luzia I;;475;4727;3748;4986;4364;4099;5421;2851;3380;;;
156;Atvos - Rio Claro;;723;4201;3828;4684;4352;4844;5543;5311;;;;
157;Atvos - Polo SP;;1264;4421;2198;4493;5103;5074;4980;3985;5308;;;
158;Atvos - Morro Vermelho;;600;4086;3315;4026;4056;4623;4211;6402;155;;;
159;Atvos - Eldorado;185;165;2748;2939;3943;3859;4411;2854;3681;1825;;;
160;Atvos - Costa Rica;;811;3470;4740;4437;4332;3764;4416;4935;1725;;;
161;Atvos - Alto Taquari;;43;3296;2925;3558;4020;3556;3976;;;;;
162;Participante 162;;656;2476;1699;2969;2321;2527;2181;3738;;;;
163;Participante 163;;2724;5061;4245;7434;7512;8897;8885;6892;;;;
164;Participante 164;;3543;6298;4818;9039;8237;9070;7814;5657;;;;
165;Aroeira;4134;1362;2342;2895;3007;2755;2380;4997;;;;;
166;Araporã Bioenergia;1409;2303;3453;2836;3111;3443;3524;2485;;;;;
167;Aralco - Nova Aralco;;25;5639;4376;1759;3137;2068;3724;;;;;
168;Alta Mogiana;;5210;10200;8100;7454;7921;9160;7269;;;;;
169;Alcoeste;;1315;4671;4051;3873;3565;4742;4365;2653;;;;
170;Agroterenas - Rio Brilhante;;;1061;1791;1339;2491;1691;1574;1153;1849;;;
171;Agroterenas - Parag. Pta;;97;2972;2855;2770;3859;4148;3437;2931;3775;;;
172;Agroterenas - Maracaí;;251;2955;2262;4540;5179;4721;3671;3490;227;;;
173;Agroterenas - Anaurilândia;;32;647;517;1219;1232;1687;1282;878;469;;;
174;Agropéu;;;2510;2264;2376;2198;2087;2436;693;;;;
175;Participante 175;1106;3417;4921;3271;6626;6601;6103;4217;3760;2513;;;
176;Adecoagro - Monte Alegre;66;1087;2167;1764;1589;3064;2055;1447;;;;;
177;Adecoagro - Ivinhema;7558;;8524;7606;9061;16012;11304;5804;3289;3183;1124;;
178;Adecoagro - Angélica;5347;;7031;6800;6822;8283;8599;3964;2416;3227;2521;;
