FAZENDA;C1;C2;C3;C4;C5;C6;C7;MEDIA;CORTES_COM_DADO;AREA_TOTAL_HA;TAH_GERAL
Sítio Cosme;0,00;10,22;8,13;13,01;6,69;0,00;0,00;9,51;4,00;129,00;9,51
Fazenda Carandá (120438);0,00;0,00;9,50;0,00;0,00;0,00;0,00;9,50;1,00;35,55;9,50
Fazenda São Luiz;17,20;8,23;9,02;10,78;0,00;2,24;0,00;9,49;5,00;296,77;8,46
Fazenda São Domingos;12,29;8,12;10,00;9,13;7,07;8,63;10,88;9,45;7,00;4.691,09;8,94
Sitio MQ;13,83;10,17;7,87;9,39;5,70;0,00;0,00;9,39;5,00;265,45;8,77
Fazenda Esperanca;14,91;9,82;8,17;7,91;6,11;0,00;0,00;9,38;5,00;274,55;9,28
Sitio Novo Horizonte II (129423);0,00;0,00;0,00;0,00;0,00;0,00;9,27;9,27;1,00;30,00;9,27
Fazenda Santa Irene III;9,81;12,48;0,00;8,84;7,33;8,49;8,46;9,24;6,00;2.644,26;8,56
Fazenda Três Barras;16,35;10,83;7,75;4,55;6,63;0,00;0,00;9,22;5,00;835,37;10,36
Fazenda Mutum;0,00;10,54;10,10;10,03;8,39;6,99;0,00;9,21;5,00;585,89;9,17
Estância Três irmãos;13,31;13,54;6,11;3,64;0,00;0,00;0,00;9,15;4,00;111,57;9,21
Fazenda Barreiro;0,00;12,72;7,04;8,82;7,86;0,00;0,00;9,11;4,00;456,75;9,11
Estancia 3A;15,67;10,97;9,10;4,00;5,79;0,00;0,00;9,11;5,00;645,86;8,61
Fazenda Santa Virginia Frefer;17,43;12,70;12,75;6,59;6,08;4,82;3,31;9,10;7,00;1.649,84;5,81
Rancho São Jacinto;13,88;12,14;6,62;3,46;0,00;0,00;0,00;9,02;4,00;536,46;9,10
Fazenda Ouro Branco I;12,82;12,00;0,00;4,79;6,40;0,00;0,00;9,00;4,00;395,04;11,25
Sítio Nossa Senhora Aparecida;16,03;9,10;7,56;8,92;6,45;5,86;0,00;8,99;6,00;221,49;10,21
Fazenda Laranjeiras1;14,60;10,67;9,33;1,30;0,00;0,00;0,00;8,97;4,00;776,31;9,35
Fazenda São José;18,17;11,06;11,98;0,00;2,41;1,25;0,00;8,97;5,00;909,16;10,37
Fazenda São João (Fabiano);11,16;6,75;0,00;0,00;0,00;0,00;0,00;8,96;2,00;296,28;8,96
Fazenda Novo Lar;12,55;0,00;6,82;7,28;9,08;0,00;0,00;8,93;4,00;428,84;8,94
Sítio Santa Terezinha;8,30;12,97;9,00;5,44;0,00;0,00;0,00;8,93;4,00;199,64;8,93
Fazenda Três Ilhas ;14,61;9,76;9,00;8,41;6,82;4,78;0,00;8,90;6,00;1.032,78;8,51
Fazenda Bela Vista;10,70;9,10;8,42;8,79;7,35;0,00;0,00;8,87;5,00;743,32;9,03
Sítio Santo Expedito;0,00;15,53;12,69;7,80;5,66;2,67;0,00;8,87;5,00;79,50;8,87
Fazenda Ouro Branco;12,41;11,97;7,81;8,54;3,62;0,00;0,00;8,87;5,00;609,38;9,11
Fazenda Dois Irmãos;12,24;0,00;7,33;6,68;8,94;0,00;0,00;8,80;4,00;974,16;8,80
Sítio Monteiro e Sítio Boa Esperança - Alto Alegre;0,00;0,00;0,00;8,79;0,00;0,00;0,00;8,79;1,00;21,52;8,79
Fazenda Bom Sucesso;0,00;14,27;8,68;7,10;4,99;0,00;0,00;8,76;4,00;309,40;9,00
Fazenda Laranjeiras 2;0,00;11,41;10,73;8,63;5,98;6,77;0,00;8,70;5,00;244,75;8,70
Fazenda Guairaca;11,42;10,11;0,00;0,00;0,00;6,69;6,36;8,64;4,00;646,19;8,67
Sitio Novo Horizonte (129422);0,00;0,00;0,00;0,00;0,00;0,00;8,64;8,64;1,00;19,98;8,64
Fazenda Santa Maria;12,61;10,36;6,77;7,27;6,14;0,00;0,00;8,63;5,00;1.038,53;8,53
Fazenda Lírio (120053);8,52;0,00;0,00;8,42;8,53;0,00;0,00;8,49;3,00;34,95;8,53
Estância Pitanga;0,00;10,86;6,03;0,00;0,00;0,00;0,00;8,44;2,00;126,31;7,95
Fazenda Santa Clara;12,30;9,31;6,95;7,00;6,38;0,00;0,00;8,39;5,00;279,81;9,23
Estancia Sao Francisco;15,37;9,34;5,69;0,00;3,12;0,00;0,00;8,38;4,00;147,62;8,49
Fazenda Paineira;13,73;11,91;7,51;8,29;5,83;4,81;6,40;8,35;7,00;1.604,78;8,11
Estância Santa Elisa;0,00;12,81;8,67;4,62;7,45;7,92;0,00;8,29;5,00;96,55;8,29
Faz. Santa Maria dos Palmares ;17,60;11,95;6,15;0,00;2,79;2,64;0,00;8,23;5,00;531,80;9,64
Estância Tradição;13,56;11,51;5,58;5,80;4,45;0,00;0,00;8,18;5,00;250,69;8,19
Estância Santa Rita de Cassia;13,15;9,52;8,09;1,89;0,00;0,00;0,00;8,16;4,00;133,76;8,17
Fazenda Vale do Sol ;13,26;10,07;7,34;5,06;5,04;0,00;0,00;8,15;5,00;903,49;9,11
Fazenda Sao Manoel;12,83;9,21;8,09;5,90;4,71;0,00;0,00;8,15;5,00;1.943,16;8,84
Fazenda Figueira;14,68;12,02;8,32;2,83;2,56;0,00;0,00;8,08;5,00;421,88;10,85
Estância Nativa II;0,00;11,37;8,74;5,85;6,21;0,00;0,00;8,05;4,00;106,72;8,18
Fazenda Santa Luzia;11,07;8,71;9,17;6,33;4,82;0,00;0,00;8,02;5,00;1.113,48;7,74
Chacara Nativa ;0,00;13,21;9,06;4,48;5,28;0,00;0,00;8,01;4,00;39,81;8,00
Fazenda Alvorada;14,73;10,09;7,96;6,17;4,91;4,11;0,00;7,99;6,00;1.360,49;8,55
Fazenda Santa Helena;14,08;8,31;8,56;8,01;7,23;5,37;4,21;7,97;7,00;2.380,86;8,63
