CD_SAFRA;FAZENDA;AMBIENTE;VARIEDADE;CORTE;AREA_HA;TON_CANA;KG_ACUCAR;TCH;ATR;TAH_LINHA
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;3,34;124,46;16.667,59;37,26;133,92;4,99
22526;Fazenda Sao Jorge;Ambiente E;CTC1007;1;20,14;1.779,67;254.153,78;88,36;142,81;12,62
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;4,16;194,68;27.536,64;46,80;141,44;6,62
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;4,71;198,95;27.072,23;42,24;136,07;5,75
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;4,71;175,45;23.495,81;37,25;133,92;4,99
22526;Fazenda Sao Jorge;Ambiente D;CTC1007;1;14,39;1.132,41;159.840,93;78,69;141,15;11,11
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;5,19;243,05;34.377,95;46,83;141,44;6,62
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;5,57;235,66;32.076,40;42,31;136,11;5,76
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;5,57;207,81;27.829,13;37,31;133,92;5,00
22526;Fazenda Sao Jorge;Ambiente D;CTC1007;1;17,87;1.406,11;198.474,98;78,69;141,15;11,11
22122;Fazenda Sao Jorge;Ambiente E;RB975033;2;3,59;167,72;23.723,58;46,72;141,44;6,61
22223;Fazenda Sao Jorge;Ambiente E;RB975033;3;5,07;214,53;29.191,85;42,31;136,07;5,76
22324;Fazenda Sao Jorge;Ambiente E;RB975033;4;5,07;189,18;25.334,50;37,31;133,92;5,00
22526;Fazenda Sao Jorge;Ambiente E;CTC1007;1;39,79;3.131,38;441.999,17;78,70;141,15;11,11
22122;Fazenda Sao Jorge;Ambiente C;RB975033;2;10,75;503,02;71.149,58;46,79;141,44;6,62
22223;Fazenda Sao Jorge;Ambiente C;RB975033;3;10,75;454,75;61.880,12;42,30;136,07;5,76
22324;Fazenda Sao Jorge;Ambiente C;RB975033;4;10,75;400,98;53.698,24;37,30;133,92;5,00
22526;Fazenda Sao Jorge;Ambiente E;CTC1007;1;17,10;1.345,80;189.962,26;78,70;141,15;11,11
22122;Fazenda Sao Jorge;Ambiente D;RB975033;2;1,20;55,54;7.855,55;46,28;141,44;6,55
22223;Fazenda Sao Jorge;Ambiente D;RB975033;3;1,20;51,03;6.944,71;42,53;136,09;5,79
22324;Fazenda Sao Jorge;Ambiente D;RB975033;4;1,20;45,04;6.031,81;37,53;133,92;5,03
22122;Fazenda Sao Jorge;Ambiente C;RB975033;2;4,15;194,32;27.484,93;46,82;141,44;6,62
22223;Fazenda Sao Jorge;Ambiente C;RB975033;3;4,15;175,61;23.896,11;42,32;136,07;5,76
22324;Fazenda Sao Jorge;Ambiente C;RB975033;4;4,15;154,86;20.738,84;37,32;133,92;5,00
22122;Fazenda Sao Jorge;Ambiente C;RB975033;2;6,08;285,04;40.317,32;46,88;141,44;6,63
22223;Fazenda Sao Jorge;Ambiente C;RB975033;3;6,38;269,02;36.606,39;42,17;136,07;5,74
22324;Fazenda Sao Jorge;Ambiente C;RB975033;4;6,38;237,22;31.767,93;37,18;133,92;4,98
22122;Fazenda Sao Jorge;Ambiente D;RB975033;2;2,75;128,49;18.174,02;46,72;141,44;6,61
22223;Fazenda Sao Jorge;Ambiente D;RB975033;3;3,02;127,78;17.390,84;42,31;136,10;5,76
22324;Fazenda Sao Jorge;Ambiente D;RB975033;4;3,02;112,69;15.091,38;37,31;133,92;5,00
22122;Fazenda Sao Jorge;Ambiente D;RB975033;2;2,02;94,42;13.355,10;46,74;141,44;6,61
22223;Fazenda Sao Jorge;Ambiente D;RB975033;3;2,23;94,42;12.849,30;42,34;136,09;5,76
